dataset_id,sample_id,condition_id,request_id,status,disposition,generation_attempted,processing_latency_ms,generation_latency_ms,retrieval_latency_ms,validation_latency_ms,cpu_time_ms,memory_rss_delta_bytes
ULB,FOLLOWUP_ULB_141,C_lexical,ba6421fd-dc98-4cc9-b96d-c9895fb5aec1,blocked,generated_blocked,True,12149.519,12135.069,9.702,0.027,1422.121,704512.0
ULB,FOLLOWUP_ULB_147,B_dense,be8d618e-b48d-486c-9a21-f93c1ff1aa90,completed,generated_released,True,7277.357,7266.769,5.43,0.019,755.534,49152.0
ULB,FOLLOWUP_ULB_147,B_lexical,c9dae76b-6598-4778-bb0a-362360415b38,completed,generated_released,True,12277.005,12262.274,9.984,0.021,1438.369,2949120.0
ULB,FOLLOWUP_ULB_143,A_direct,cdd01600-25de-4fbd-98dc-ba4a0930997b,completed,generated_released,True,9952.77,9947.951,0.0,0.013,1637.446,-2260992.0
ULB,FOLLOWUP_ULB_144,C_lexical,d6051b6f-9d1d-4aa2-b2b3-5e6e9b0aa081,blocked,generated_blocked,True,13737.418,13722.965,9.679,0.033,1594.961,770048.0
ULB,FOLLOWUP_ULB_150,C_dense,e150f52f-0f10-4dba-b37d-dcc2c83f0ceb,blocked,generated_blocked,True,12865.277,12854.528,5.674,0.048,1504.547,737280.0
ULB,FOLLOWUP_ULB_143,C_lexical,e7ed3d64-74b4-4a12-a532-26b7370f38ba,blocked,generated_blocked,True,12604.552,12589.807,9.564,0.026,1453.967,638976.0
ULB,FOLLOWUP_ULB_141,A_direct,ebf0aec1-3abe-48c2-91ee-c0f4f8b84cb0,completed,generated_released,True,9721.945,9716.947,0.0,0.013,1588.727,-737280.0
ULB,FOLLOWUP_ULB_144,D_hybrid,ebfce8d9-cc2c-4994-8947-4971818d4080,blocked,generated_blocked,True,14459.112,14438.764,15.676,0.032,1658.199,933888.0
ULB,FOLLOWUP_ULB_148,A_direct,f0f32763-dc06-4127-b0f0-c35fcc0cf513,completed,generated_released,True,10138.948,10134.407,0.0,0.02,1697.082,753664.0
ULB,FOLLOWUP_ULB_147,C_lexical,f2b7c2a8-61c7-46c1-b345-fd5b307c681f,blocked,generated_blocked,True,13748.088,13733.734,9.635,0.025,1585.011,0.0
ULB,FOLLOWUP_ULB_149,B_dense,f840fd1d-4901-4d12-af8a-9d3c3ba3cc4c,completed,generated_released,True,25738.061,25367.073,360.374,1.55,5635.845,-685965312.0
ULB,FOLLOWUP_ULB_146,B_lexical,fc27346d-5269-49d6-8340-b872af6f955b,completed,generated_released,True,16098.264,16083.303,10.12,0.013,1945.07,851968.0
ULB,FOLLOWUP_ULB_150,B_lexical,ff3e9824-3cca-4d1b-8c5a-6f85f06a5130,completed,generated_released,True,14435.838,14420.629,9.877,0.017,1725.814,-753664.0
Sparkov,FOLLOWUP_SPARKOV_008,C_lexical,04706dd0-d0c0-40df-88cd-514b9ad9d204,suppressed,pre_generation_suppressed,False,20.226,,9.975,,0.0,0.0
Sparkov,FOLLOWUP_SPARKOV_005,D_hybrid,09adb89e-8d79-41c3-8770-bf748eebae97,suppressed,pre_generation_suppressed,False,35.13,,21.575,,0.0,0.0
Sparkov,FOLLOWUP_SPARKOV_009,C_lexical,1097dc93-4df5-4766-8101-704c2585a410,suppressed,pre_generation_suppressed,False,19.091,,9.558,,0.0,0.0
Sparkov,FOLLOWUP_SPARKOV_010,B_lexical,140174dd-091c-433d-8e93-8a5cd30529e3,completed,generated_released,True,16072.592,16051.516,9.696,0.025,2657.583,3309568.0
Sparkov,FOLLOWUP_SPARKOV_007,C_lexical,1850dd6c-f83d-4739-8f84-d4006018c3d7,suppressed,pre_generation_suppressed,False,18.641,,9.6,,0.0,0.0
Sparkov,FOLLOWUP_SPARKOV_002,B_lexical,1a3c7bab-b069-4b30-9ec8-f4f261bad378,completed,generated_released,True,11253.965,11231.072,10.351,0.014,1867.631,1097728.0
Sparkov,FOLLOWUP_SPARKOV_008,B_dense,1eaa695b-cf24-40f9-8160-c6f31bbc5c95,completed,generated_released,True,10674.225,10658.309,6.085,0.02,1967.137,1720320.0
Sparkov,FOLLOWUP_SPARKOV_001,A_direct,20924962-39da-46e9-b865-edea4100f2a3,completed,generated_released,True,63260.487,63250.974,0.0,0.014,9044.197,-59015168.0
Sparkov,FOLLOWUP_SPARKOV_002,C_lexical,292c35a7-5553-4307-903b-527c409345b6,suppressed,pre_generation_suppressed,False,19.647,,9.95,,0.0,0.0
